sex,age,education,birth_in_canada,province,income_family,vote_Liberal,cell
Male,18-29,Grade12&under,Yes,Ontario,level 1,Liberal,Ontario 18-29 Grade12&under level 1
Male,30-39,College/Associate Degree,Yes,Newfoundland and Labrador,level 1,Liberal,Newfoundland and Labrador 30-39 College/Associate Degree level 1
Male,30-39,College/Associate Degree,Yes,Saskatchewan,level 2,Others,Saskatchewan 30-39 College/Associate Degree level 2
Female,30-39,College/Associate Degree,Yes,Ontario,level 2,Others,Ontario 30-39 College/Associate Degree level 2
Male,30-39,Grade12&under,Yes,Ontario,level 1,Others,Ontario 30-39 Grade12&under level 1
Female,30-39,Highschool,Yes,Manitoba,level 2,Others,Manitoba 30-39 Highschool level 2
Female,30-39,Highschool,Yes,Saskatchewan,level 2,Others,Saskatchewan 30-39 Highschool level 2
Female,40-49,College/Associate Degree,Yes,Quebec,level 1,Liberal,Quebec 40-49 College/Associate Degree level 1
Female,40-49,College/Associate Degree,Yes,Ontario,level 1,Liberal,Ontario 40-49 College/Associate Degree level 1
Female,18-29,College/Associate Degree,Yes,Ontario,level 1,Others,Ontario 18-29 College/Associate Degree level 1
Female,18-29,Bachelor&under(uni),Yes,Ontario,level 3,Others,Ontario 18-29 Bachelor&under(uni) level 3
Female,30-39,College/Associate Degree,Yes,Ontario,level 3,Others,Ontario 30-39 College/Associate Degree level 3
Female,60-69,Highschool,Yes,Manitoba,level 1,Liberal,Manitoba 60-69 Highschool level 1
Male,40-49,Highschool,Yes,Manitoba,level 1,Others,Manitoba 40-49 Highschool level 1
Male,50-59,College/Associate Degree,Yes,Nova Scotia,level 1,Others,Nova Scotia 50-59 College/Associate Degree level 1
Female,70-79,AboveBachelor(uni),No,Alberta,level 3,Others,Alberta 70-79 AboveBachelor(uni) level 3
Male,60-69,College/Associate Degree,Yes,British Columbia,level 1,Liberal,British Columbia 60-69 College/Associate Degree level 1
Female,18-29,Highschool,Yes,Alberta,level 2,Liberal,Alberta 18-29 Highschool level 2
Female,30-39,Bachelor&under(uni),Yes,Quebec,level 3,Liberal,Quebec 30-39 Bachelor&under(uni) level 3
Female,18-29,Bachelor&under(uni),Yes,Ontario,level 1,Others,Ontario 18-29 Bachelor&under(uni) level 1
Male,60-69,College/Associate Degree,Yes,Alberta,level 1,Others,Alberta 60-69 College/Associate Degree level 1
Female,40-49,College/Associate Degree,Yes,Quebec,level 2,Liberal,Quebec 40-49 College/Associate Degree level 2
Female,60-69,College/Associate Degree,Yes,Ontario,level 1,Liberal,Ontario 60-69 College/Associate Degree level 1
Female,80+,Highschool,No,Ontario,level 1,Others,Ontario 80+ Highschool level 1
Male,70-79,Bachelor&under(uni),Yes,Saskatchewan,level 2,Others,Saskatchewan 70-79 Bachelor&under(uni) level 2
Female,60-69,College/Associate Degree,Yes,Quebec,level 2,Liberal,Quebec 60-69 College/Associate Degree level 2
Female,50-59,Highschool,Yes,Ontario,level 1,Others,Ontario 50-59 Highschool level 1
Female,70-79,Grade12&under,Yes,Quebec,level 1,Others,Quebec 70-79 Grade12&under level 1
Female,50-59,College/Associate Degree,Yes,Ontario,level 2,Liberal,Ontario 50-59 College/Associate Degree level 2
Female,70-79,Bachelor&under(uni),Yes,Quebec,level 2,Liberal,Quebec 70-79 Bachelor&under(uni) level 2
Female,50-59,College/Associate Degree,Yes,Ontario,level 3,Others,Ontario 50-59 College/Associate Degree level 3
Female,50-59,Highschool,Yes,Ontario,level 1,Others,Ontario 50-59 Highschool level 1
Male,70-79,Bachelor&under(uni),No,Ontario,level 2,Liberal,Ontario 70-79 Bachelor&under(uni) level 2
Male,30-39,Bachelor&under(uni),Yes,British Columbia,level 1,Liberal,British Columbia 30-39 Bachelor&under(uni) level 1
Male,70-79,AboveBachelor(uni),Yes,Manitoba,level 2,Others,Manitoba 70-79 AboveBachelor(uni) level 2
Male,70-79,Bachelor&under(uni),Yes,Quebec,level 1,Liberal,Quebec 70-79 Bachelor&under(uni) level 1
Male,80+,Bachelor&under(uni),Yes,Quebec,level 1,Liberal,Quebec 80+ Bachelor&under(uni) level 1
Male,30-39,Highschool,Yes,Quebec,level 1,Others,Quebec 30-39 Highschool level 1
Male,60-69,Bachelor&under(uni),No,Ontario,level 3,Others,Ontario 60-69 Bachelor&under(uni) level 3
Female,60-69,College/Associate Degree,Yes,Ontario,level 2,Others,Ontario 60-69 College/Associate Degree level 2
Female,50-59,Highschool,Yes,Ontario,level 1,Liberal,Ontario 50-59 Highschool level 1
Male,40-49,College/Associate Degree,Yes,Alberta,level 2,Others,Alberta 40-49 College/Associate Degree level 2
Female,50-59,AboveBachelor(uni),Yes,Nova Scotia,level 1,Liberal,Nova Scotia 50-59 AboveBachelor(uni) level 1
Male,50-59,Highschool,Yes,Ontario,level 1,Liberal,Ontario 50-59 Highschool level 1
Female,30-39,Grade12&under,Yes,Nova Scotia,level 1,Others,Nova Scotia 30-39 Grade12&under level 1
Female,40-49,Highschool,Yes,Ontario,level 3,Others,Ontario 40-49 Highschool level 3
Male,70-79,College/Associate Degree,Yes,Alberta,level 1,Liberal,Alberta 70-79 College/Associate Degree level 1
Female,40-49,College/Associate Degree,Yes,Ontario,level 2,Others,Ontario 40-49 College/Associate Degree level 2
Female,40-49,Bachelor&under(uni),Yes,Alberta,level 1,Liberal,Alberta 40-49 Bachelor&under(uni) level 1
Female,30-39,Bachelor&under(uni),Yes,Ontario,level 3,Others,Ontario 30-39 Bachelor&under(uni) level 3
Male,70-79,Highschool,Yes,Alberta,level 1,Others,Alberta 70-79 Highschool level 1
Male,80+,AboveBachelor(uni),No,Ontario,level 2,Others,Ontario 80+ AboveBachelor(uni) level 2
Male,60-69,College/Associate Degree,Yes,Alberta,level 3,Others,Alberta 60-69 College/Associate Degree level 3
Female,40-49,Bachelor&under(uni),Yes,Quebec,level 1,Liberal,Quebec 40-49 Bachelor&under(uni) level 1
Female,60-69,Highschool,Yes,Ontario,level 1,Others,Ontario 60-69 Highschool level 1
Female,70-79,Highschool,Yes,Ontario,level 2,Liberal,Ontario 70-79 Highschool level 2
Male,60-69,College/Associate Degree,Yes,Ontario,level 1,Others,Ontario 60-69 College/Associate Degree level 1
Female,60-69,Highschool,Yes,Ontario,level 2,Others,Ontario 60-69 Highschool level 2
Female,60-69,Bachelor&under(uni),Yes,Alberta,level 2,Others,Alberta 60-69 Bachelor&under(uni) level 2
Female,50-59,Grade12&under,Yes,Ontario,level 2,Others,Ontario 50-59 Grade12&under level 2
Female,40-49,AboveBachelor(uni),Yes,Quebec,level 2,Others,Quebec 40-49 AboveBachelor(uni) level 2
Male,50-59,AboveBachelor(uni),Yes,Quebec,level 3,Liberal,Quebec 50-59 AboveBachelor(uni) level 3
Female,70-79,College/Associate Degree,Yes,Quebec,level 1,Liberal,Quebec 70-79 College/Associate Degree level 1
Female,18-29,AboveBachelor(uni),Yes,Alberta,level 3,Others,Alberta 18-29 AboveBachelor(uni) level 3
Female,60-69,College/Associate Degree,Yes,Quebec,level 1,Liberal,Quebec 60-69 College/Associate Degree level 1
Female,60-69,College/Associate Degree,No,British Columbia,level 3,Others,British Columbia 60-69 College/Associate Degree level 3
Male,60-69,AboveBachelor(uni),Yes,Alberta,level 2,Others,Alberta 60-69 AboveBachelor(uni) level 2
Male,40-49,College/Associate Degree,Yes,Ontario,level 2,Liberal,Ontario 40-49 College/Associate Degree level 2
Male,60-69,College/Associate Degree,Yes,British Columbia,level 1,Others,British Columbia 60-69 College/Associate Degree level 1
Female,70-79,College/Associate Degree,Yes,Ontario,level 1,Others,Ontario 70-79 College/Associate Degree level 1
Male,50-59,College/Associate Degree,No,Ontario,level 1,Liberal,Ontario 50-59 College/Associate Degree level 1
Female,40-49,Bachelor&under(uni),Yes,Ontario,level 2,Liberal,Ontario 40-49 Bachelor&under(uni) level 2
Male,80+,AboveBachelor(uni),Yes,Quebec,level 2,Liberal,Quebec 80+ AboveBachelor(uni) level 2
Male,60-69,Bachelor&under(uni),Yes,Ontario,level 2,Liberal,Ontario 60-69 Bachelor&under(uni) level 2
Female,60-69,College/Associate Degree,No,Alberta,level 1,Others,Alberta 60-69 College/Associate Degree level 1
Female,60-69,Highschool,Yes,Manitoba,level 1,Others,Manitoba 60-69 Highschool level 1
Female,40-49,Bachelor&under(uni),Yes,British Columbia,level 1,Liberal,British Columbia 40-49 Bachelor&under(uni) level 1
Male,50-59,AboveBachelor(uni),Yes,Alberta,level 3,Others,Alberta 50-59 AboveBachelor(uni) level 3
Female,18-29,Bachelor&under(uni),Yes,Saskatchewan,level 3,Liberal,Saskatchewan 18-29 Bachelor&under(uni) level 3
Male,60-69,AboveBachelor(uni),Yes,Quebec,level 2,Others,Quebec 60-69 AboveBachelor(uni) level 2
Female,18-29,College/Associate Degree,Yes,Ontario,level 1,Others,Ontario 18-29 College/Associate Degree level 1
Male,70-79,Highschool,Yes,British Columbia,level 2,Liberal,British Columbia 70-79 Highschool level 2
Male,60-69,College/Associate Degree,Yes,Alberta,level 2,Others,Alberta 60-69 College/Associate Degree level 2
Female,30-39,College/Associate Degree,Yes,Ontario,level 3,Others,Ontario 30-39 College/Associate Degree level 3
Female,40-49,Highschool,No,British Columbia,level 1,Others,British Columbia 40-49 Highschool level 1
Male,18-29,College/Associate Degree,Yes,Ontario,level 1,Others,Ontario 18-29 College/Associate Degree level 1
Male,18-29,Highschool,Yes,Ontario,level 2,Others,Ontario 18-29 Highschool level 2
Female,18-29,Bachelor&under(uni),Yes,Ontario,level 1,Others,Ontario 18-29 Bachelor&under(uni) level 1
Female,18-29,College/Associate Degree,Yes,Ontario,level 3,Liberal,Ontario 18-29 College/Associate Degree level 3
Female,30-39,Grade12&under,Yes,Manitoba,level 1,Others,Manitoba 30-39 Grade12&under level 1
Female,30-39,Highschool,Yes,Ontario,level 3,Others,Ontario 30-39 Highschool level 3
Male,30-39,College/Associate Degree,Yes,Ontario,level 2,Liberal,Ontario 30-39 College/Associate Degree level 2
Male,40-49,Bachelor&under(uni),No,Ontario,level 3,Others,Ontario 40-49 Bachelor&under(uni) level 3
Female,30-39,College/Associate Degree,Yes,Saskatchewan,level 1,Others,Saskatchewan 30-39 College/Associate Degree level 1
Female,50-59,Bachelor&under(uni),Yes,Ontario,level 2,Liberal,Ontario 50-59 Bachelor&under(uni) level 2
Female,60-69,Highschool,No,Ontario,level 1,Others,Ontario 60-69 Highschool level 1
Female,18-29,AboveBachelor(uni),No,Alberta,level 2,Others,Alberta 18-29 AboveBachelor(uni) level 2
Female,30-39,College/Associate Degree,Yes,Ontario,level 3,Liberal,Ontario 30-39 College/Associate Degree level 3
Female,30-39,College/Associate Degree,Yes,Ontario,level 2,Others,Ontario 30-39 College/Associate Degree level 2
Female,60-69,Highschool,Yes,Saskatchewan,level 1,Others,Saskatchewan 60-69 Highschool level 1
Male,40-49,Highschool,Yes,Quebec,level 2,Others,Quebec 40-49 Highschool level 2
Female,30-39,Bachelor&under(uni),Yes,British Columbia,level 2,Liberal,British Columbia 30-39 Bachelor&under(uni) level 2
Male,60-69,College/Associate Degree,Yes,Ontario,level 1,Others,Ontario 60-69 College/Associate Degree level 1
Female,30-39,Bachelor&under(uni),Yes,British Columbia,level 1,Others,British Columbia 30-39 Bachelor&under(uni) level 1
Male,18-29,Highschool,Yes,Ontario,level 1,Others,Ontario 18-29 Highschool level 1
Female,70-79,Grade12&under,Yes,Ontario,level 1,Others,Ontario 70-79 Grade12&under level 1
Female,18-29,Highschool,Yes,Ontario,level 1,Others,Ontario 18-29 Highschool level 1
Female,30-39,Bachelor&under(uni),Yes,Manitoba,level 2,Others,Manitoba 30-39 Bachelor&under(uni) level 2
Female,18-29,Grade12&under,Yes,Ontario,level 1,Others,Ontario 18-29 Grade12&under level 1
Female,60-69,College/Associate Degree,No,Ontario,level 2,Liberal,Ontario 60-69 College/Associate Degree level 2
Female,70-79,Bachelor&under(uni),No,Ontario,level 2,Others,Ontario 70-79 Bachelor&under(uni) level 2
Female,30-39,Grade12&under,Yes,Alberta,level 1,Others,Alberta 30-39 Grade12&under level 1
Female,40-49,Highschool,No,Ontario,level 1,Others,Ontario 40-49 Highschool level 1
Female,40-49,Highschool,Yes,Alberta,level 1,Others,Alberta 40-49 Highschool level 1
Male,30-39,College/Associate Degree,Yes,Ontario,level 3,Others,Ontario 30-39 College/Associate Degree level 3
Male,30-39,Grade12&under,Yes,Ontario,level 2,Liberal,Ontario 30-39 Grade12&under level 2
Male,70-79,Highschool,No,British Columbia,level 2,Others,British Columbia 70-79 Highschool level 2
Female,18-29,College/Associate Degree,Yes,Newfoundland and Labrador,level 1,Liberal,Newfoundland and Labrador 18-29 College/Associate Degree level 1
Female,18-29,College/Associate Degree,Yes,Ontario,level 1,Liberal,Ontario 18-29 College/Associate Degree level 1
Male,40-49,Bachelor&under(uni),No,Ontario,level 2,Liberal,Ontario 40-49 Bachelor&under(uni) level 2
Male,40-49,College/Associate Degree,Yes,Ontario,level 2,Others,Ontario 40-49 College/Associate Degree level 2
Male,18-29,Bachelor&under(uni),Yes,Quebec,level 1,Others,Quebec 18-29 Bachelor&under(uni) level 1
Male,30-39,Highschool,Yes,Ontario,level 3,Others,Ontario 30-39 Highschool level 3
Male,60-69,Bachelor&under(uni),Yes,British Columbia,level 3,Liberal,British Columbia 60-69 Bachelor&under(uni) level 3
Male,18-29,Highschool,Yes,Ontario,level 1,Others,Ontario 18-29 Highschool level 1
Female,18-29,Highschool,Yes,British Columbia,level 1,Others,British Columbia 18-29 Highschool level 1
Female,50-59,Highschool,Yes,British Columbia,level 1,Others,British Columbia 50-59 Highschool level 1
Female,80+,Highschool,Yes,Ontario,level 2,Others,Ontario 80+ Highschool level 2
Male,18-29,College/Associate Degree,No,Alberta,level 1,Others,Alberta 18-29 College/Associate Degree level 1
Female,60-69,College/Associate Degree,Yes,Ontario,level 1,Others,Ontario 60-69 College/Associate Degree level 1
Female,18-29,Highschool,Yes,British Columbia,level 2,Others,British Columbia 18-29 Highschool level 2
Male,18-29,Grade12&under,Yes,Alberta,level 1,Others,Alberta 18-29 Grade12&under level 1
Female,40-49,College/Associate Degree,Yes,British Columbia,level 1,Liberal,British Columbia 40-49 College/Associate Degree level 1
Male,60-69,College/Associate Degree,Yes,Ontario,level 1,Liberal,Ontario 60-69 College/Associate Degree level 1
Male,30-39,Highschool,Yes,Ontario,level 1,Others,Ontario 30-39 Highschool level 1
Male,50-59,College/Associate Degree,Yes,Nova Scotia,level 1,Others,Nova Scotia 50-59 College/Associate Degree level 1
Male,18-29,College/Associate Degree,Yes,Ontario,level 1,Others,Ontario 18-29 College/Associate Degree level 1
Female,18-29,AboveBachelor(uni),Yes,Quebec,level 1,Others,Quebec 18-29 AboveBachelor(uni) level 1
Male,40-49,College/Associate Degree,Yes,Ontario,level 2,Others,Ontario 40-49 College/Associate Degree level 2
Female,50-59,Grade12&under,No,Manitoba,level 1,Others,Manitoba 50-59 Grade12&under level 1
Female,18-29,AboveBachelor(uni),Yes,Quebec,level 3,Liberal,Quebec 18-29 AboveBachelor(uni) level 3
Female,60-69,Highschool,Yes,British Columbia,level 1,Others,British Columbia 60-69 Highschool level 1
Male,18-29,Highschool,Yes,Ontario,level 1,Others,Ontario 18-29 Highschool level 1
Male,30-39,Highschool,Yes,Ontario,level 1,Others,Ontario 30-39 Highschool level 1
Male,18-29,Bachelor&under(uni),Yes,Ontario,level 2,Others,Ontario 18-29 Bachelor&under(uni) level 2
Male,18-29,College/Associate Degree,No,Quebec,level 2,Liberal,Quebec 18-29 College/Associate Degree level 2
Male,70-79,Highschool,Yes,Ontario,level 1,Liberal,Ontario 70-79 Highschool level 1
Female,18-29,Bachelor&under(uni),Yes,Nova Scotia,level 1,Others,Nova Scotia 18-29 Bachelor&under(uni) level 1
Female,60-69,Highschool,Yes,Quebec,level 1,Liberal,Quebec 60-69 Highschool level 1
Female,40-49,Bachelor&under(uni),Yes,Ontario,level 2,Liberal,Ontario 40-49 Bachelor&under(uni) level 2
Male,70-79,College/Associate Degree,Yes,Alberta,level 2,Others,Alberta 70-79 College/Associate Degree level 2
Female,50-59,Highschool,Yes,British Columbia,level 1,Others,British Columbia 50-59 Highschool level 1
Female,18-29,Bachelor&under(uni),Yes,Alberta,level 2,Others,Alberta 18-29 Bachelor&under(uni) level 2
Female,50-59,Highschool,Yes,Alberta,level 1,Others,Alberta 50-59 Highschool level 1
Female,40-49,Bachelor&under(uni),Yes,Ontario,level 2,Liberal,Ontario 40-49 Bachelor&under(uni) level 2
Female,50-59,Grade12&under,Yes,Ontario,level 1,Others,Ontario 50-59 Grade12&under level 1
Male,30-39,College/Associate Degree,Yes,Ontario,level 2,Liberal,Ontario 30-39 College/Associate Degree level 2
Female,18-29,Grade12&under,Yes,Ontario,level 1,Others,Ontario 18-29 Grade12&under level 1
Female,70-79,AboveBachelor(uni),Yes,New Brunswick,level 1,Liberal,New Brunswick 70-79 AboveBachelor(uni) level 1
Female,18-29,Highschool,Yes,British Columbia,level 1,Others,British Columbia 18-29 Highschool level 1
Female,18-29,Highschool,Yes,Saskatchewan,level 1,Others,Saskatchewan 18-29 Highschool level 1
Female,18-29,Bachelor&under(uni),Yes,British Columbia,level 1,Liberal,British Columbia 18-29 Bachelor&under(uni) level 1
Male,30-39,AboveBachelor(uni),No,Saskatchewan,level 2,Others,Saskatchewan 30-39 AboveBachelor(uni) level 2
Male,40-49,Bachelor&under(uni),No,Ontario,level 1,Others,Ontario 40-49 Bachelor&under(uni) level 1
Female,80+,Grade12&under,Yes,Ontario,level 1,Others,Ontario 80+ Grade12&under level 1
Female,40-49,AboveBachelor(uni),No,Quebec,level 1,Others,Quebec 40-49 AboveBachelor(uni) level 1
Female,30-39,Highschool,Yes,Manitoba,level 2,Others,Manitoba 30-39 Highschool level 2
Female,40-49,Bachelor&under(uni),Yes,Alberta,level 2,Liberal,Alberta 40-49 Bachelor&under(uni) level 2
Female,50-59,College/Associate Degree,Yes,Quebec,level 1,Others,Quebec 50-59 College/Associate Degree level 1
Female,50-59,College/Associate Degree,Yes,Ontario,level 2,Liberal,Ontario 50-59 College/Associate Degree level 2
Female,18-29,Bachelor&under(uni),Yes,Prince Edward Island,level 1,Liberal,Prince Edward Island 18-29 Bachelor&under(uni) level 1
Female,40-49,AboveBachelor(uni),No,Quebec,level 2,Others,Quebec 40-49 AboveBachelor(uni) level 2
Female,18-29,College/Associate Degree,No,Nova Scotia,level 1,Others,Nova Scotia 18-29 College/Associate Degree level 1
Female,18-29,Bachelor&under(uni),Yes,Ontario,level 1,Others,Ontario 18-29 Bachelor&under(uni) level 1
Male,18-29,Highschool,No,Quebec,level 1,Others,Quebec 18-29 Highschool level 1
Female,50-59,Highschool,No,British Columbia,level 1,Liberal,British Columbia 50-59 Highschool level 1
Female,18-29,Bachelor&under(uni),Yes,British Columbia,level 2,Liberal,British Columbia 18-29 Bachelor&under(uni) level 2
Female,60-69,Highschool,No,Ontario,level 1,Liberal,Ontario 60-69 Highschool level 1
Male,50-59,Highschool,Yes,New Brunswick,level 2,Others,New Brunswick 50-59 Highschool level 2
Female,50-59,Highschool,Yes,Ontario,level 2,Liberal,Ontario 50-59 Highschool level 2
Female,40-49,Highschool,Yes,Manitoba,level 1,Others,Manitoba 40-49 Highschool level 1
Female,18-29,Highschool,No,Quebec,level 1,Liberal,Quebec 18-29 Highschool level 1
Male,70-79,College/Associate Degree,Yes,Quebec,level 2,Liberal,Quebec 70-79 College/Associate Degree level 2
Female,50-59,College/Associate Degree,No,Ontario,level 1,Others,Ontario 50-59 College/Associate Degree level 1
Female,50-59,Highschool,Yes,British Columbia,level 1,Others,British Columbia 50-59 Highschool level 1
Female,60-69,College/Associate Degree,Yes,Alberta,level 2,Others,Alberta 60-69 College/Associate Degree level 2
Male,30-39,Bachelor&under(uni),Yes,Ontario,level 1,Others,Ontario 30-39 Bachelor&under(uni) level 1
Male,30-39,Bachelor&under(uni),Yes,Alberta,level 2,Others,Alberta 30-39 Bachelor&under(uni) level 2
Female,50-59,Bachelor&under(uni),Yes,Ontario,level 2,Liberal,Ontario 50-59 Bachelor&under(uni) level 2
Female,50-59,Bachelor&under(uni),No,Ontario,level 1,Others,Ontario 50-59 Bachelor&under(uni) level 1
Female,40-49,Highschool,No,Ontario,level 2,Others,Ontario 40-49 Highschool level 2
Female,18-29,College/Associate Degree,Yes,Quebec,level 1,Liberal,Quebec 18-29 College/Associate Degree level 1
Female,40-49,College/Associate Degree,Yes,Ontario,level 1,Others,Ontario 40-49 College/Associate Degree level 1
Female,50-59,Highschool,Yes,Ontario,level 2,Others,Ontario 50-59 Highschool level 2
Female,40-49,Highschool,Yes,Ontario,level 2,Liberal,Ontario 40-49 Highschool level 2
Male,80+,Bachelor&under(uni),No,Ontario,level 2,Others,Ontario 80+ Bachelor&under(uni) level 2
Female,60-69,Highschool,Yes,Saskatchewan,level 2,Others,Saskatchewan 60-69 Highschool level 2
Female,40-49,Bachelor&under(uni),Yes,Ontario,level 3,Others,Ontario 40-49 Bachelor&under(uni) level 3
Female,70-79,Bachelor&under(uni),No,British Columbia,level 1,Others,British Columbia 70-79 Bachelor&under(uni) level 1
Female,30-39,Bachelor&under(uni),Yes,Quebec,level 2,Liberal,Quebec 30-39 Bachelor&under(uni) level 2
Male,70-79,College/Associate Degree,Yes,Ontario,level 1,Liberal,Ontario 70-79 College/Associate Degree level 1
Female,30-39,Bachelor&under(uni),Yes,Quebec,level 2,Liberal,Quebec 30-39 Bachelor&under(uni) level 2
Female,30-39,Bachelor&under(uni),Yes,Alberta,level 3,Others,Alberta 30-39 Bachelor&under(uni) level 3
Female,50-59,Highschool,Yes,New Brunswick,level 2,Others,New Brunswick 50-59 Highschool level 2
Female,50-59,Highschool,Yes,Nova Scotia,level 1,Liberal,Nova Scotia 50-59 Highschool level 1
Male,40-49,College/Associate Degree,No,Ontario,level 2,Others,Ontario 40-49 College/Associate Degree level 2
Female,80+,Grade12&under,Yes,British Columbia,level 1,Others,British Columbia 80+ Grade12&under level 1
Male,50-59,College/Associate Degree,Yes,Alberta,level 1,Others,Alberta 50-59 College/Associate Degree level 1
Female,18-29,College/Associate Degree,Yes,Alberta,level 2,Liberal,Alberta 18-29 College/Associate Degree level 2
Female,60-69,College/Associate Degree,Yes,Alberta,level 2,Others,Alberta 60-69 College/Associate Degree level 2
Female,60-69,Bachelor&under(uni),Yes,Ontario,level 2,Others,Ontario 60-69 Bachelor&under(uni) level 2
Female,30-39,Bachelor&under(uni),Yes,British Columbia,level 1,Liberal,British Columbia 30-39 Bachelor&under(uni) level 1
Male,60-69,College/Associate Degree,Yes,Ontario,level 3,Others,Ontario 60-69 College/Associate Degree level 3
Male,30-39,Highschool,Yes,Quebec,level 1,Liberal,Quebec 30-39 Highschool level 1
Male,50-59,College/Associate Degree,Yes,Quebec,level 2,Liberal,Quebec 50-59 College/Associate Degree level 2
Male,40-49,Bachelor&under(uni),Yes,British Columbia,level 2,Others,British Columbia 40-49 Bachelor&under(uni) level 2
Female,40-49,Bachelor&under(uni),No,Alberta,level 3,Others,Alberta 40-49 Bachelor&under(uni) level 3
Male,50-59,Bachelor&under(uni),Yes,British Columbia,level 3,Others,British Columbia 50-59 Bachelor&under(uni) level 3
Male,70-79,College/Associate Degree,No,Quebec,level 2,Liberal,Quebec 70-79 College/Associate Degree level 2
Male,40-49,Bachelor&under(uni),Yes,British Columbia,level 1,Others,British Columbia 40-49 Bachelor&under(uni) level 1
Female,18-29,College/Associate Degree,Yes,Alberta,level 1,Others,Alberta 18-29 College/Associate Degree level 1
Female,60-69,College/Associate Degree,Yes,Ontario,level 3,Others,Ontario 60-69 College/Associate Degree level 3
Female,40-49,Bachelor&under(uni),Yes,Alberta,level 2,Liberal,Alberta 40-49 Bachelor&under(uni) level 2
Female,50-59,Highschool,Yes,Ontario,level 1,Others,Ontario 50-59 Highschool level 1
Male,50-59,Highschool,Yes,Ontario,level 1,Others,Ontario 50-59 Highschool level 1
Female,40-49,Bachelor&under(uni),Yes,British Columbia,level 1,Others,British Columbia 40-49 Bachelor&under(uni) level 1
Female,60-69,Bachelor&under(uni),Yes,Alberta,level 2,Others,Alberta 60-69 Bachelor&under(uni) level 2
Female,70-79,College/Associate Degree,Yes,Ontario,level 1,Others,Ontario 70-79 College/Associate Degree level 1
Male,50-59,Highschool,Yes,Manitoba,level 3,Others,Manitoba 50-59 Highschool level 3
Female,50-59,College/Associate Degree,Yes,Ontario,level 3,Others,Ontario 50-59 College/Associate Degree level 3
Female,40-49,Bachelor&under(uni),Yes,Ontario,level 2,Liberal,Ontario 40-49 Bachelor&under(uni) level 2
Female,60-69,Highschool,Yes,Nova Scotia,level 1,Liberal,Nova Scotia 60-69 Highschool level 1
Female,18-29,College/Associate Degree,Yes,Ontario,level 1,Others,Ontario 18-29 College/Associate Degree level 1
Female,40-49,Highschool,Yes,Ontario,level 2,Others,Ontario 40-49 Highschool level 2
Male,30-39,Highschool,Yes,British Columbia,level 1,Others,British Columbia 30-39 Highschool level 1
Male,30-39,Bachelor&under(uni),No,Ontario,level 2,Others,Ontario 30-39 Bachelor&under(uni) level 2
Female,50-59,AboveBachelor(uni),No,Ontario,level 1,Liberal,Ontario 50-59 AboveBachelor(uni) level 1
Female,50-59,Bachelor&under(uni),Yes,Ontario,level 2,Liberal,Ontario 50-59 Bachelor&under(uni) level 2
Female,30-39,Bachelor&under(uni),Yes,Alberta,level 2,Others,Alberta 30-39 Bachelor&under(uni) level 2
Female,60-69,College/Associate Degree,Yes,Newfoundland and Labrador,level 2,Liberal,Newfoundland and Labrador 60-69 College/Associate Degree level 2
Female,40-49,Highschool,Yes,Alberta,level 1,Others,Alberta 40-49 Highschool level 1
Female,50-59,Highschool,Yes,Ontario,level 3,Liberal,Ontario 50-59 Highschool level 3
Female,40-49,Highschool,Yes,Ontario,level 1,Others,Ontario 40-49 Highschool level 1
Female,40-49,College/Associate Degree,Yes,Prince Edward Island,level 2,Others,Prince Edward Island 40-49 College/Associate Degree level 2
Male,30-39,College/Associate Degree,Yes,Ontario,level 1,Others,Ontario 30-39 College/Associate Degree level 1
Male,50-59,Highschool,Yes,Saskatchewan,level 1,Liberal,Saskatchewan 50-59 Highschool level 1
Female,18-29,Bachelor&under(uni),Yes,Ontario,level 3,Liberal,Ontario 18-29 Bachelor&under(uni) level 3
Female,40-49,AboveBachelor(uni),Yes,Ontario,level 3,Liberal,Ontario 40-49 AboveBachelor(uni) level 3
Male,60-69,Highschool,Yes,Quebec,level 1,Liberal,Quebec 60-69 Highschool level 1
Female,70-79,Highschool,Yes,Ontario,level 2,Others,Ontario 70-79 Highschool level 2
Male,60-69,Highschool,Yes,British Columbia,level 1,Others,British Columbia 60-69 Highschool level 1
Female,60-69,AboveBachelor(uni),Yes,Ontario,level 3,Liberal,Ontario 60-69 AboveBachelor(uni) level 3
Female,60-69,Grade12&under,Yes,Ontario,level 2,Liberal,Ontario 60-69 Grade12&under level 2
Female,50-59,Grade12&under,Yes,Alberta,level 2,Others,Alberta 50-59 Grade12&under level 2
Male,50-59,Highschool,Yes,Newfoundland and Labrador,level 1,Others,Newfoundland and Labrador 50-59 Highschool level 1
Female,70-79,Highschool,Yes,Ontario,level 1,Liberal,Ontario 70-79 Highschool level 1
Female,18-29,Highschool,Yes,Ontario,level 3,Liberal,Ontario 18-29 Highschool level 3
Female,18-29,Bachelor&under(uni),Yes,Ontario,level 2,Liberal,Ontario 18-29 Bachelor&under(uni) level 2
Female,60-69,Highschool,Yes,Quebec,level 2,Liberal,Quebec 60-69 Highschool level 2
Female,30-39,Highschool,Yes,Alberta,level 1,Others,Alberta 30-39 Highschool level 1
Female,18-29,College/Associate Degree,Yes,New Brunswick,level 1,Others,New Brunswick 18-29 College/Associate Degree level 1
